Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
07/22/2020,02/01/2020,07/11/2020,Idaho,Male,75-84 years,21,941,55,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Male,85 years and over,15,846,40,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Male,All ages,56,"3,569",166,16,13,219,
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,Under 1 year,0,22,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,15-24 years,0,22,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,25-34 years,0,45,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,35-44 years,0,68,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,45-54 years,0,122,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,55-64 years,,333,22,,,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,65-74 years,11,561,40,,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,75-84 years,16,843,35,,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,85 years and over,30,"1,222",52,,,82,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Idaho,Female,All ages,58,"3,245",157,15,12,212,
07/22/2020,02/01/2020,07/11/2020,Idaho,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Idaho Total,All,All Ages,114,"6,814",323,31,25,431,
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,Under 1 year,,172,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,1-4 years,0,32,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,5-14 years,,49,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,15-24 years,,486,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,25-34 years,40,883,33,13,,62,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,35-44 years,117,"1,181",76,49,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,45-54 years,279,"2,080",216,135,,363,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,55-64 years,566,"4,824",504,299,15,786,
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,65-74 years,930,"6,689",868,500,15,"1,313",
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,75-84 years,939,"7,068",963,503,18,"1,417",
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,85 years and over,771,"6,984",869,377,14,"1,276",
07/22/2020,02/01/2020,07/11/2020,Illinois,Male,All ages,"3,651","30,448","3,537","1,879",71,"5,379",
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,Under 1 year,,128,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,1-4 years,0,21,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,5-14 years,0,37,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,15-24 years,,157,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,25-34 years,19,329,19,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,35-44 years,42,559,49,22,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,45-54 years,106,"1,145",108,56,,160,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,55-64 years,293,"2,968",323,156,16,476,
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,65-74 years,518,"4,842",566,281,15,817,
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,75-84 years,731,"6,860",787,361,27,"1,183",
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,85 years and over,"1,286","11,827","1,204",549,38,"1,979",
07/22/2020,02/01/2020,07/11/2020,Illinois,Female,All ages,"3,001","28,873","3,062","1,434",106,"4,733",
07/22/2020,02/01/2020,07/11/2020,Illinois,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Illinois Total,All,All Ages,"6,652","59,322","6,599","3,313",177,"10,112",
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,Under 1 year,0,96,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,1-4 years,,15,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,5-14 years,0,37,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,15-24 years,,243,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,25-34 years,,505,17,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,35-44 years,13,569,32,,,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,45-54 years,49,"1,130",77,19,,114,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,55-64 years,166,"2,741",243,83,11,336,
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,65-74 years,365,"3,915",441,175,13,644,
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,75-84 years,393,"4,232",524,177,16,755,
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,85 years and over,380,"3,685",417,162,12,647,
07/22/2020,02/01/2020,07/11/2020,Indiana,Male,All ages,"1,377","17,168","1,754",629,61,"2,561",
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,Under 1 year,0,94,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,1-4 years,0,12,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,5-14 years,0,25,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,15-24 years,,79,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,25-34 years,,202,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,35-44 years,15,295,18,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,45-54 years,32,702,58,16,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,55-64 years,99,"1,791",171,57,11,224,
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,65-74 years,215,"2,995",316,99,13,445,
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,75-84 years,394,"4,111",432,155,14,684,
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,85 years and over,598,"6,353",507,168,24,960,
07/22/2020,02/01/2020,07/11/2020,Indiana,Female,All ages,"1,356","16,659","1,511",504,70,"2,431",
07/22/2020,02/01/2020,07/11/2020,Indiana,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Indiana Total,All,All Ages,"2,733","33,827","3,265","1,133",131,"4,992",
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,Under 1 year,0,30,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,1-4 years,0,10,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,5-14 years,0,15,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,15-24 years,0,82,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,25-34 years,,141,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,35-44 years,,191,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,45-54 years,24,405,25,12,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,55-64 years,62,"1,039",77,27,,115,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,65-74 years,105,"1,611",124,30,,208,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,75-84 years,99,"1,825",145,26,,227,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,85 years and over,122,"2,046",161,28,,263,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Male,All ages,424,"7,395",549,128,33,878,
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,Under 1 year,,31,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,15-24 years,,27,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,25-34 years,,59,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,35-44 years,,108,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,45-54 years,,224,15,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,55-64 years,42,678,50,17,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,65-74 years,70,"1,181",90,23,12,149,
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,75-84 years,85,"1,667",126,24,12,199,
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,85 years and over,153,"3,250",201,29,21,346,
07/22/2020,02/01/2020,07/11/2020,Iowa,Female,All ages,370,"7,233",495,103,51,813,
07/22/2020,02/01/2020,07/11/2020,Iowa,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Iowa Total,All,All Ages,794,"14,629","1,044",231,84,"1,691",
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,Under 1 year,0,51,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,1-4 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,5-14 years,0,13,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,15-24 years,0,107,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,25-34 years,,173,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,35-44 years,,219,,0,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,45-54 years,14,396,14,,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,55-64 years,32,952,53,15,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,65-74 years,32,"1,389",103,14,,130,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,75-84 years,43,"1,518",111,23,13,144,
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,85 years and over,41,"1,673",147,23,,172,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Male,All ages,168,"6,495",442,81,42,571,
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,Under 1 year,0,35,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,5-14 years,0,,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,15-24 years,0,36,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,25-34 years,,63,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,35-44 years,,132,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,45-54 years,,254,10,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,55-64 years,17,645,37,,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,65-74 years,23,"1,044",73,11,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,75-84 years,27,"1,402",86,14,15,114,
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,85 years and over,73,"2,527",173,31,13,228,
07/22/2020,02/01/2020,07/11/2020,Kansas,Female,All ages,147,"6,150",388,62,47,520,
07/22/2020,02/01/2020,07/11/2020,Kansas,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kansas Total,All,All Ages,315,"12,646",830,143,89,"1,091",
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,Under 1 year,0,49,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,1-4 years,0,11,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,5-14 years,0,22,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,15-24 years,0,158,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,25-34 years,,338,,,,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,35-44 years,10,579,28,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,45-54 years,15,867,58,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,55-64 years,39,"2,065",164,18,,193,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,65-74 years,90,"2,693",273,49,12,326,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,75-84 years,71,"2,660",310,38,11,354,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,85 years and over,70,"2,017",229,33,11,277,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Male,All ages,297,"11,459","1,074",153,49,"1,267",
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,Under 1 year,0,45,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,5-14 years,0,17,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,15-24 years,0,64,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,25-34 years,0,146,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,35-44 years,,276,20,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,45-54 years,,588,42,,,50,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,55-64 years,28,"1,363",110,17,12,132,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,65-74 years,50,"2,056",203,30,12,235,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,75-84 years,97,"2,727",270,48,,324,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,85 years and over,174,"3,346",305,62,12,429,
07/22/2020,02/01/2020,07/11/2020,Kentucky,Female,All ages,359,"10,635",954,163,49,"1,198",
07/22/2020,02/01/2020,07/11/2020,Kentucky,Unknown,All ages,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Kentucky Total,All,All Ages,656,"22,095","2,028",316,98,"2,465",
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,Under 1 year,0,80,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,1-4 years,,18,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,5-14 years,,32,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,15-24 years,,172,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,25-34 years,10,399,16,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,35-44 years,38,509,34,21,,52,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,45-54 years,107,922,51,38,,125,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,55-64 years,251,"2,096",194,118,,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,65-74 years,417,"2,945",341,205,11,562,
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,75-84 years,478,"2,937",368,229,,624,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,85 years and over,328,"2,300",280,162,,450,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Male,All ages,"1,634","12,410","1,288",779,33,"2,173",
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,Under 1 year,,67,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,5-14 years,0,17,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,15-24 years,,77,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,25-34 years,13,179,13,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,35-44 years,32,289,21,15,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,45-54 years,61,575,40,24,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,55-64 years,176,"1,447",152,89,,241,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,65-74 years,269,"2,223",220,124,,372,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,75-84 years,418,"2,994",313,195,,544,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,85 years and over,484,"3,855",359,221,,630,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Louisiana,Female,All ages,"1,456","11,731","1,125",677,39,"1,940",
07/22/2020,02/01/2020,07/11/2020,Louisiana,Unknown,All ages,0,0,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Louisiana Total,All,All Ages,"3,090","24,141","2,413","1,456",72,"4,113",
07/22/2020,02/01/2020,07/11/2020,Maine,Male,Under 1 year,0,17,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Maine,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,15-24 years,0,41,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Maine,Male,25-34 years,0,88,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,35-44 years,,130,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,45-54 years,,228,,,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,55-64 years,,578,22,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,65-74 years,14,795,64,,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,75-84 years,17,920,77,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,85 years and over,18,952,94,,,110,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Male,All ages,59,"3,759",267,14,16,328,
07/22/2020,02/01/2020,07/11/2020,Maine,Female,Under 1 year,0,15,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Maine,Female,1-4 years,0,,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
07/22/2020,02/01/2020,07/11/2020,Maine,Female,15-24 years,0,10,0,0,0,0,
07/22/2020,02/01/2020,07/11/2020,Maine,Female,25-34 years,0,34,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
